-0.33, -0.7
-1.64, 5.77
3.55, 3.9
-4.16, 1.89
0.07, 3.69
2.96, 0.66
-0.15, 1.73
-3.36, 4.27
0.18, 5.53
-2.04, 2.16
1.67, -0.49
-3.35, 5.95
2.85, 5.37
-1.5, 4.15
3.17, 2.1
-4.43, 4.87
-4.57, 3.43
-0.41, 0.2
-3.43, 1.73
1.4, 5.57
3.71, 5.03
-1.37, 1.55
-2.58, 5.74
1.6, 1.87
1.01, -0.75
1.73, 3.34
-0.42, 5.68
-4.28, 5.7
-4.64, 2.72
2.2, -0.0
2.99, 1.62
-0.32, 1.12
0.66, 3.85
-2.79, 1.7
2.03, 5.46
3.38, 2.96
0.37, -0.68
0.78, 5.61
-1.9, 3.73
-4.63, 2.0
-0.38, -0.3
0.43, 1.88
-0.9, 1.54
2.94, 1.13
-3.79, 2.33
-3.82, 5.89
-2.38, 1.63
-1.0, 5.72
-0.49, 0.77
-2.17, 5.81
-4.62, 4.26
3.44, 0.26
-0.45, 0.59
3.32, 5.31
-3.9, 3.9
1.12, -0.56
3.66, 4.5
0.42, 1.43
-1.6, 2.09
2.49, 0.24
-0.47, 1.44
-0.1, 4.03
1.56, 1.33
-1.44, 3.72
-4.39, 5.22
3.37, 2.59
3.48, 3.37
1.19, -0.38
-1.88, 4.15
1.76, 3.89
-4.66, 2.97
1.99, -0.1
3.15, -0.06
-2.94, 5.9
-0.03, 5.66
0.5, 3.5
0.52, 3.99
-1.82, 5.71
2.22, 5.43
0.75, -0.68
-4.5, 1.81
0.37, 5.6
-4.56, 3.82
-3.58, 3.86
0.57, -0.65
-0.06, 1.95
0.01, -0.64
0.97, 5.6
1.62, 5.53
-3.22, 1.71
3.65, 5.31
-0.01, 1.41
-4.04, 2.36
2.97, 1.37
-4.25, 5.9
3.1, 1.83
-0.42, 2.04
2.99, 0.85
-3.74, 4.37
0.06, 3.91
-0.66, 5.77
-1.43, 5.78
-0.36, 0.88
3.33, 2.4
-4.66, 2.5
-1.83, 2.09
-3.52, 2.15
-0.69, 1.44
0.64, 3.59
-4.55, 4.38
-0.54, -0.69
-2.1, 1.92
-3.6, 5.96
-1.16, 1.61
1.72, -0.29
-2.36, 5.72
0.2, 1.93
1.17, 5.6
-1.57, 1.87
-1.65, 3.66
-2.83, 5.79
-0.42, -0.03
3.02, 1.03
3.51, 3.61
2.65, 0.3
2.62, 5.37
1.49, -0.48
3.68, 4.77
-2.57, 1.66
0.23, 3.52
3.6, 4.19
-1.21, 5.77
-4.34, 1.83
2.8, 0.38
-0.06, 3.54
1.22, -0.74
-0.23, 5.67
-4.5, 4.63
-0.28, 1.36
-4.13, 5.87
-3.54, 1.91
-4.56, 3.64
-2.17, 1.66
0.24, 4.01
3.09, 5.36
3.32, 2.77
-1.98, 5.8
-3.4, 3.87
-2.27, 3.75
3.27, 2.23
-0.47, -0.49
-4.63, 3.22
1.04, -0.35
-0.6, 5.62
-0.15, -0.69
-4.65, 1.79
-0.47, 0.4
1.86, -0.3
2.06, -0.2
-3.11, 5.9
-4.67, 2.28
3.42, 3.15
1.33, -0.45
-2.39, 5.87
0.45, 1.65
-3.57, 2.32
-0.3, 0.39
-4.32, 5.47
0.57, 5.61
-0.95, 1.41
-1.36, 4.14
1.84, 5.52
0.16, 5.67
-4.19, 1.73
-3.04, 1.65
-4.55, 4.07
2.35, 0.11
-1.68, 4.2
-1.89, 3.95
-3.01, 1.77
-1.55, 1.6
-2.23, 4.27
-3.4, 4.04
0.17, 1.4
-3.53, 4.35
-1.4, 3.94
2.41, 5.39
-0.81, 5.67
-1.15, 1.48
0.9, -0.67
-0.51, -0.28
-0.16, 1.48
-4.0, 5.89
-2.38, 2.22
-4.1, 2.12
-2.65, 5.88
3.44, 2.79
2.93, 0.5
0.18, -0.66
3.24, 1.99
